1004	11	32024	22011	29014
1006	11	24051	1003	32019
1007	11	16046	27009	6004
1008	11	1011	6007	23001
1009	11	1005	30193	31065
2001	1	16007	12048	20184
2003	1	12038	16047	12059
2004	1	16038	16087	20377
2005	1	26055	10015	21150
5004	8	5021	5007	5020
5027	8	9016	5035	9014
8001	4	8045	7016	7057
8002	4	8011	3008	24055
8004	4	10007	26041	22013
8005	4	16052	28034	7087
8010	4	8038	8060	7108
8015	4	8056	28010	22010
8019	4	8017	8050	7089
8022	4	8064	10030	17006
8024	4	8035	8036	7011
8028	4	16097	16042	21126
8029	12	18013	24002	31020
8037	4	26004	8062	13017
8046	12	16092	21031	14031
8048	4	8018	10009	23003
8053	4	5036	5011	5012
8054	4	8016	26066	16048
8055	4	26063	7098	7106
8061	4	8003	7068	7006
10001	12	16108	21021	17026
10002	12	14039	4004	26034
10003	12	26025	26012	32022
10005	12	26021	26020	16041
10014	12	20009	15124	21035
10018	12	26051	16098	12005
10019	12	25012	16022	12023
10023	12	25016	16077	31083
10026	12	26070	16043	21168
10032	12	25018	24052	20277
10034	12	10011	16018	31061
10035	12	8067	16101	7051
10037	12	26006	26002	16068
10039	12	10004	19033	26068
11004	15	13041	11018	13052
11005	15	14006	29029	11013
11007	15	30131	6003	11027
11009	15	20039	14029	17017
11011	15	11001	30102	11043
11028	15	21099	14011	13007
11035	15	29035	14078	14073
11039	15	14067	7030	20483
11044	15	21203	21063	13013
12001	18	16010	16079	30192
12003	18	20049	7040	12024
12006	18	16013	21160	24036
12007	18	18007	8027	30106
12011	18	25008	17013	30116
12014	18	27012	29046	32032
12015	18	20056	29060	14042
12017	18	18020	24024	29030
12021	18	20507	15123	15122
12022	18	8047	6008	14109
12026	18	29045	21166	16073
12029	18	8020	16045	19043
12031	18	27003	32053	26033
12032	18	16067	16081	14009
12035	18	16059	20555	20302
12037	18	29016	12018	20447
12039	18	26056	17012	24009
12047	18	16031	17023	7080
12049	18	16004	17015	15066
12050	18	32021	12030	13018
12053	18	31011	16091	21151
12054	18	16023	20570	20305
12055	18	10017	28004	21056
12056	18	27001	14100	20285
12057	18	16095	16019	27017
12058	18	32036	32029	16037
12060	18	32015	32038	8041
12064	18	16099	6001	15107
12067	18	10024	16094	20539
14041	9	17011	14060	14020
14076	10	14077	21033	21181
14081	9	30107	21193	21191
14094	10	14036	14074	30211
15008	18	17004	7069	15025
15080	18	31068	30006	15096
15105	18	20044	15082	15115
15117	18	15019	15059	12066
16002	16	16102	32044	7105
16006	16	12068	16029	14082
16012	16	20295	24023	21085
16035	16	12016	16058	16032
16055	16	12070	29009	16024
16064	16	16033	27016	20415
16083	16	16104	22007	31050
16089	16	12073	32048	7017
16096	16	16057	16105	20185
17001	18	29032	16075	14084
17005	18	29058	29019	20565
17021	18	10031	22002	21018
18005	12	11036	20387	14107
19002	6	20567	17009	20324
19003	6	8033	19044	32007
19005	6	26028	26047	16070
19006	8	26016	25009	14120
19009	8	26044	26058	24006
19010	8	26054	26023	16001
19011	6	16054	20180	21022
19012	8	28018	26042	22016
19013	6	26030	4003	26008
19015	6	19042	26015	26057
19018	8	26062	10022	32030
19019	8	10012	26061	26013
19020	6	26032	28026	22003
19021	8	10025	26049	23004
19023	6	19030	19038	3003
19025	8	26027	26038	16103
19026	8	28008	32027	29038
19027	6	4007	19022	16017
19028	8	19036	19014	22015
19031	8	8021	19024	27007
19034	8	16112	20381	30010
19035	6	8058	10036	24007
19039	8	8026	25002	23005
19040	6	26048	26014	22009
19041	8	26011	26037	32056
19045	8	19007	19017	27005
19046	8	16053	26067	19047
19048	8	8044	28039	16040
19049	8	26064	28013	16074
19050	6	8023	10006	32016
24016	5	29040	14101	11024
24033	9	26071	29022	20021
24034	5	7084	21102	20545
24040	5	13069	21106	12033
24049	9	30156	19001	7003
25001	12	19004	28030	24020
25003	12	20004	8065	8008
25004	12	28002	10021	10010
25006	12	8052	8059	29020
25007	12	26019	16051	16085
25010	12	8049	29043	29004
25011	12	28041	28017	15033
25013	12	12027	28042	21051
25014	12	26017	14068	16066
25015	12	16082	28020	20462
25017	12	10029	24045	17003
26035	2	8014	8066	20055
26036	2	8006	16009	12008
26043	2	8032	28006	11045
26059	2	26001	10008	12040
26060	2	8039	16015	28036
26065	2	26053	28031	24019
28003	5	27004	26029	20181
28007	6	26046	28001	16036
28009	5	26022	28005	24056
28012	5	4011	3002	4008
28014	6	10028	24017	21055
28015	6	26024	28019	29033
28021	5	28011	16034	32045
28022	6	4002	10013	18004
28023	6	26003	8009	7117
28024	6	28037	28029	12025
28025	6	8031	16076	7009
28027	6	25005	26039	20066
28032	6	26018	26050	26009
28033	6	19029	20032	29034
28035	6	28016	10020	13035
28038	5	24047	13042	7101
28040	6	26045	4009	24028
30121	5	29024	21143	20484
30123	5	13009	14021	14099
30133	5	30127	30163	7050
30152	5	30079	30198	21170
30161	5	30032	20345	20385
30205	5	16100	14112	14097
32001	10	12034	16088	29037
32004	10	1002	24044	18003
32005	9	28028	32009	22012
32006	9	20525	32003	16072
32008	11	27010	32050	27002
32010	9	16020	32035	16080
32011	10	7058	27008	27014
32013	9	22008	18002	31059
32014	9	16049	27011	24022
32017	9	26072	32002	16113
32020	9	24027	24005	24021
32023	10	22004	24004	1010
32025	11	16078	16005	29044
32026	9	16003	17031	32041
32028	10	16011	13040	27006
32031	9	10038	16050	15083
32033	10	22005	32054	20160
32037	9	16093	17025	29005
32039	9	16071	16063	16110
32040	9	16027	12044	21066
32042	9	16086	12051	20319
32043	9	16061	29006	24015
32046	9	24046	16044	13049
32047	10	24035	32018	13031
32049	9	18006	12013	21057
32051	9	16111	32034	32012
32055	9	32057	24050	14098
32058	10	20563	20542	20516
